subject_1_code,subject_1_name,subject_2_code,subject_2_name,similarity_score
97405,French Language and Culture 5,97406,French Language and Culture 6,0.9968055040209189
97401,French Language and Culture 1,97402,French Language and Culture 2,0.9963613461940307
97803,Italian Language and Culture 3,97804,Italian Language and Culture 4,0.9960942292603852
97603,German Language and Culture 3,97604,German Language and Culture 4,0.9948886399261856
97601,German Language and Culture 1,97602,German Language and Culture 2,0.9940022702343833
97403,French Language and Culture 3,97404,French Language and Culture 4,0.9938763767755215
97505,Spanish Language and Culture 5,97506,Spanish Language and Culture 6,0.9922313995441704
97601,German Language and Culture 1,97603,German Language and Culture 3,0.9917022379534686
97105,Chinese Language and Culture 5,97106,Chinese Language and Culture 6,0.989435056781152
97103,Chinese Language and Culture 3,97104,Chinese Language and Culture 4,0.9867504717855037
97601,German Language and Culture 1,97604,German Language and Culture 4,0.9866660711764489
97801,Italian Language and Culture 1,97802,Italian Language and Culture 2,0.9844039678485905
97205,Japanese Language and Culture 5,97206,Japanese Language and Culture 6,0.9841351894218529
97102,Chinese Language and Culture 2,97103,Chinese Language and Culture 3,0.9837903075512144
97202,Japanese Language and Culture 2,97203,Japanese Language and Culture 3,0.9834873304722535
97602,German Language and Culture 2,97603,German Language and Culture 3,0.9826172087889379
97401,French Language and Culture 1,97403,French Language and Culture 3,0.9825369598415076
97503,Spanish Language and Culture 3,97504,Spanish Language and Culture 4,0.9815716697577458
97203,Japanese Language and Culture 3,97204,Japanese Language and Culture 4,0.9813600329434858
97501,Spanish Language and Culture 1,97502,Spanish Language and Culture 2,0.9808136962778825
97402,French Language and Culture 2,97403,French Language and Culture 3,0.9789618479930754
97104,Chinese Language and Culture 4,97106,Chinese Language and Culture 6,0.9787429773762443
97202,Japanese Language and Culture 2,97204,Japanese Language and Culture 4,0.9777560608275939
97401,French Language and Culture 1,97404,French Language and Culture 4,0.9764367355258244
97103,Chinese Language and Culture 3,97105,Chinese Language and Culture 5,0.9763662511861787
97602,German Language and Culture 2,97604,German Language and Culture 4,0.9753849536413756
97802,Italian Language and Culture 2,97803,Italian Language and Culture 3,0.9753828368117752
97201,Japanese Language and Culture 1,97203,Japanese Language and Culture 3,0.9752373539863002
97801,Italian Language and Culture 1,97804,Italian Language and Culture 4,0.9741180967350227
97104,Chinese Language and Culture 4,97105,Chinese Language and Culture 5,0.9731880648938088
97402,French Language and Culture 2,97404,French Language and Culture 4,0.9728838202818144
97501,Spanish Language and Culture 1,97503,Spanish Language and Culture 3,0.9721309396471843
97802,Italian Language and Culture 2,97804,Italian Language and Culture 4,0.9714735178561178
97801,Italian Language and Culture 1,97803,Italian Language and Culture 3,0.971271790360811
97102,Chinese Language and Culture 2,97104,Chinese Language and Culture 4,0.9707082610480962
97201,Japanese Language and Culture 1,97202,Japanese Language and Culture 2,0.9704590013727287
97102,Chinese Language and Culture 2,97105,Chinese Language and Culture 5,0.9674380810686714
97502,Spanish Language and Culture 2,97503,Spanish Language and Culture 3,0.9659294796509685
97103,Chinese Language and Culture 3,97106,Chinese Language and Culture 6,0.9657953701165976
97401,French Language and Culture 1,97405,French Language and Culture 5,0.9639643348132111
97204,Japanese Language and Culture 4,97205,Japanese Language and Culture 5,0.962823305058851
41001,Cloud Computing and Software as a Service,42904,Cloud Computing and Software as a Service,0.9625077427614217
97404,French Language and Culture 4,97405,French Language and Culture 5,0.9619650788832301
97401,French Language and Culture 1,97406,French Language and Culture 6,0.9608849546216711
97207,Japanese Films and Popular Culture,97208,Japanese Language and Identity,0.9608358088173378
97402,French Language and Culture 2,97405,French Language and Culture 5,0.9604568023175231
97501,Spanish Language and Culture 1,97504,Spanish Language and Culture 4,0.959543507772441
97101,Chinese Language and Culture 1,97102,Chinese Language and Culture 2,0.9594190376257058
97504,Spanish Language and Culture 4,97505,Spanish Language and Culture 5,0.9593207323224484
97204,Japanese Language and Culture 4,97206,Japanese Language and Culture 6,0.9589303647052002
97404,French Language and Culture 4,97406,French Language and Culture 6,0.95889208530672
97203,Japanese Language and Culture 3,97205,Japanese Language and Culture 5,0.9587423403570376
97402,French Language and Culture 2,97406,French Language and Culture 6,0.9573886269244384
99200,Intercultural Communication,99218,Intercultural Communication,0.9571141781856429
97102,Chinese Language and Culture 2,97106,Chinese Language and Culture 6,0.9569828526630147
97403,French Language and Culture 3,97405,French Language and Culture 5,0.9558981914005807
97503,Spanish Language and Culture 3,97505,Spanish Language and Culture 5,0.9554184120751171
97201,Japanese Language and Culture 1,97204,Japanese Language and Culture 4,0.9546499069069766
97501,Spanish Language and Culture 1,97505,Spanish Language and Culture 5,0.9545512101610405
97101,Chinese Language and Culture 1,97103,Chinese Language and Culture 3,0.953894484859859
97502,Spanish Language and Culture 2,97504,Spanish Language and Culture 4,0.9533177236639175
97403,French Language and Culture 3,97406,French Language and Culture 6,0.9528445784717399
97503,Spanish Language and Culture 3,97506,Spanish Language and Culture 6,0.9522387794492971
97504,Spanish Language and Culture 4,97506,Spanish Language and Culture 6,0.9517385000493522
97501,Spanish Language and Culture 1,97506,Spanish Language and Culture 6,0.951374463583327
97202,Japanese Language and Culture 2,97206,Japanese Language and Culture 6,0.9505427073687278
97605,German Today,97606,German Literature,0.9489701487983868
97101,Chinese Language and Culture 1,97104,Chinese Language and Culture 4,0.9483734944063724
97502,Spanish Language and Culture 2,97505,Spanish Language and Culture 5,0.9460875504084932
97111,Chinese Festivals and Ceremonies,97113,Chinese Culture and Heritage,0.9459177570466482
97603,German Language and Culture 3,97605,German Today,0.9457201771519765
97502,Spanish Language and Culture 2,97506,Spanish Language and Culture 6,0.9429389708917687
97601,German Language and Culture 1,97605,German Today,0.9428921144141318
97201,Japanese Language and Culture 1,97205,Japanese Language and Culture 5,0.9416864129068836
97202,Japanese Language and Culture 2,97205,Japanese Language and Culture 5,0.9415360226366944
97203,Japanese Language and Culture 3,97206,Japanese Language and Culture 6,0.941477257270896
97602,German Language and Culture 2,97605,German Today,0.9407850595607032
97103,Chinese Language and Culture 3,97115,Developing Chinese Reading and Writing Skills 2,0.9380295812784148
97201,Japanese Language and Culture 1,97206,Japanese Language and Culture 6,0.9362471166952504
97604,German Language and Culture 4,97605,German Today,0.9358483519461216
97101,Chinese Language and Culture 1,97105,Chinese Language and Culture 5,0.9350119281159112
97104,Chinese Language and Culture 4,97115,Developing Chinese Reading and Writing Skills 2,0.9329171183364487
97101,Chinese Language and Culture 1,97106,Chinese Language and Culture 6,0.9321622883043585
97605,German Today,97607,German Film,0.9278747027002153
97114,Developing Chinese Reading and Writing Skills 1,97115,Developing Chinese Reading and Writing Skills 2,0.9274145384893802
97208,Japanese Language and Identity,97210,Transcultural Communication in Japanese,0.9238468562816178
97603,German Language and Culture 3,97606,German Literature,0.9232453684546148
97102,Chinese Language and Culture 2,97115,Developing Chinese Reading and Writing Skills 2,0.9230224973180918
97601,German Language and Culture 1,97606,German Literature,0.9205699343603022
97209,Japanese Media and Current Issues,97210,Transcultural Communication in Japanese,0.9199445264258647
97407,Francophone Identities in Conflict,97410,Places and Spaces of the Francophone World,0.9199220289352796
97605,German Today,97608,German Popular Music,0.918902252599017
97602,German Language and Culture 2,97606,German Literature,0.91851276226345
97606,German Literature,97607,German Film,0.917973652317481
97105,Chinese Language and Culture 5,97115,Developing Chinese Reading and Writing Skills 2,0.9164404935194544
97604,German Language and Culture 4,97606,German Literature,0.9136474948711052
97106,Chinese Language and Culture 6,97115,Developing Chinese Reading and Writing Skills 2,0.9136474539477408
97606,German Literature,97608,German Popular Music,0.9108738984922743
97102,Chinese Language and Culture 2,97114,Developing Chinese Reading and Writing Skills 1,0.9098730697055007
97207,Japanese Films and Popular Culture,97210,Transcultural Communication in Japanese,0.909086093867154
31256,Image Processing and Pattern Recognition,42177,Image Processing and Pattern Recognition,0.9062141824520642
97101,Chinese Language and Culture 1,97115,Developing Chinese Reading and Writing Skills 2,0.9042208400404727
97103,Chinese Language and Culture 3,97113,Chinese Culture and Heritage,0.9039021177770701
97603,German Language and Culture 3,97607,German Film,0.9038433967062214
97103,Chinese Language and Culture 3,97114,Developing Chinese Reading and Writing Skills 1,0.9024550033392145
97601,German Language and Culture 1,97607,German Film,0.9015050725600661
97104,Chinese Language and Culture 4,97113,Chinese Culture and Heritage,0.9001110162396665
97602,German Language and Culture 2,97607,German Film,0.8994905041810437
97103,Chinese Language and Culture 3,97111,Chinese Festivals and Ceremonies,0.898586966911571
97102,Chinese Language and Culture 2,97113,Chinese Culture and Heritage,0.8984541863182909
97104,Chinese Language and Culture 4,97114,Developing Chinese Reading and Writing Skills 1,0.8965796268758927
97105,Chinese Language and Culture 5,97113,Chinese Culture and Heritage,0.8956495185776638
97104,Chinese Language and Culture 4,97111,Chinese Festivals and Ceremonies,0.89485753955224
97607,German Film,97608,German Popular Music,0.8947364270934056
97603,German Language and Culture 3,97608,German Popular Music,0.8946131262223077
97604,German Language and Culture 4,97607,German Film,0.8945766160862554
97102,Chinese Language and Culture 2,97111,Chinese Festivals and Ceremonies,0.8930013183106192
97106,Chinese Language and Culture 6,97113,Chinese Culture and Heritage,0.8929198437482958
97601,German Language and Culture 1,97608,German Popular Music,0.8920362105230643
97105,Chinese Language and Culture 5,97111,Chinese Festivals and Ceremonies,0.8903485882137646
97602,German Language and Culture 2,97608,German Popular Music,0.8900428019473814
97208,Japanese Language and Identity,97209,Japanese Media and Current Issues,0.8895870655287635
97101,Chinese Language and Culture 1,97114,Developing Chinese Reading and Writing Skills 1,0.8883695477960352
97106,Chinese Language and Culture 6,97111,Chinese Festivals and Ceremonies,0.8876350690523065
97105,Chinese Language and Culture 5,97114,Developing Chinese Reading and Writing Skills 1,0.88697581868797
97604,German Language and Culture 4,97608,German Popular Music,0.8853200692663333
97106,Chinese Language and Culture 6,97114,Developing Chinese Reading and Writing Skills 1,0.8842725787304742
97101,Chinese Language and Culture 1,97113,Chinese Culture and Heritage,0.8754235542386467
97407,Francophone Identities in Conflict,97408,Show and Tell: Francophone Cultures on Display,0.8751150435942815
97207,Japanese Films and Popular Culture,97209,Japanese Media and Current Issues,0.8735241487450552
97405,French Language and Culture 5,97409,Francophone Cultures of Consumption,0.8695165926446885
97101,Chinese Language and Culture 1,97111,Chinese Festivals and Ceremonies,0.8686525117968829
97113,Chinese Culture and Heritage,97115,Developing Chinese Reading and Writing Skills 2,0.8684930800198027
97111,Chinese Festivals and Ceremonies,97115,Developing Chinese Reading and Writing Skills 2,0.8684737629191887
97401,French Language and Culture 1,97409,Francophone Cultures of Consumption,0.8678543176901047
97406,French Language and Culture 6,97409,Francophone Cultures of Consumption,0.8667389253857399
31005,Machine Learning,32513,Advanced Data Analytics Algorithms,0.8665019092566465
97408,Show and Tell: Francophone Cultures on Display,97410,Places and Spaces of the Francophone World,0.8653691337442031
97402,French Language and Culture 2,97409,Francophone Cultures of Consumption,0.8646964962740139
97409,Francophone Cultures of Consumption,97410,Places and Spaces of the Francophone World,0.8612092464979537
97403,French Language and Culture 3,97409,Francophone Cultures of Consumption,0.8605923919788029
97404,French Language and Culture 4,97409,Francophone Cultures of Consumption,0.856729016295827
41043,Natural Language Processing,42850,Natural Language Processing Algorithms,0.8557661392196975
97111,Chinese Festivals and Ceremonies,97114,Developing Chinese Reading and Writing Skills 1,0.8550609658456091
97113,Chinese Culture and Heritage,97114,Developing Chinese Reading and Writing Skills 1,0.8521294615498145
40002,Architecting on AWS,42049,Architecting on Amazon Web Services,0.8513051570902154
977917,In-country Contemporary Society Study,97901,International Internship,0.8464650130949547
97407,Francophone Identities in Conflict,97409,Francophone Cultures of Consumption,0.8449184260412094
